origID,age,gender,gender_text,bilingual,bilingual_text,handedness,footedness
10012318,18,Woman,NA,No,NA,Right,Right
10014563,20,Woman,NA,Yes. My strongest language is:,english,Right,Right
10015335,18,Woman,NA,No,NA,Right,Right
10015908,19,Woman,NA,No,NA,Right,Don't know / No preference
10015992,18,Woman,NA,No,NA,Left,Don't know / No preference
10017182,18,Woman,NA,No,NA,Don't know / No preference,Right
10017343,19,Woman,NA,No,NA,Right,Right
10017506,18,Woman,NA,Yes. My strongest language is:,english,Right,Left
10017510,18,Man,NA,No,NA,Right,Right
10018275,18,Woman,NA,No,NA,Right,Right
10018781,18,Woman,NA,No,NA,Right,Right
10019141,19,Woman,NA,No,NA,Right,Right
10022287,19,Woman,NA,No,NA,Right,Right
10022667,19,Woman,NA,No,NA,Right,Left
10032283,18,Woman,NA,No,NA,Left,Left
10034239,18,Woman,NA,Yes. My strongest language is:,english,Right,Right
10035810,18,Woman,NA,Yes. My strongest language is:,english,Don't know / No preference,Right
10031076,19,Woman,NA,Yes. My strongest language is:,Cantonese,Right,Right
10036010,19,Woman,NA,Yes. My strongest language is:,english,Right,Left
10036128,18,Woman,NA,No,NA,Right,Right
10036163,18,Woman,NA,No,NA,Right,Right
10037472,18,Other (please specify),Genderfluid,Yes. My strongest language is:,english,Right,Right
10040847,20,Man,NA,Yes. My strongest language is:,Urdu,Don't know / No preference,Left
10041411,18,Woman,NA,No,NA,Right,Left
10041619,20,Woman,NA,No,NA,Right,Right
10041696,18,Man,NA,No,NA,Right,Right
10046029,19,Woman,NA,No,NA,Right,Right
10053358,18,Woman,NA,No,NA,Right,Left
10054018,20,Woman,NA,No,NA,Right,Right
10057183,18,Woman,NA,No,NA,Right,Left
10058829,20,Woman,NA,Yes. My strongest language is:,english,Left,Left
10060293,18,Woman,NA,No,NA,Right,Right
10060775,19,Woman,NA,No,NA,Right,Right
10062668,18,Woman,NA,No,NA,Right,Right
10069166,19,Woman,NA,Yes. My strongest language is:,english,Right,Right
10078983,19,Woman,NA,No,NA,Right,Right
10080317,19,Woman,NA,Yes. My strongest language is:,english,Right,Left
10081224,18,Woman,NA,No,NA,Right,Left
10085882,19,Woman,NA,No,NA,Right,Right
10090977,18,Woman,NA,No,NA,Right,Right
10091442,19,Woman,NA,No,NA,Right,Left
10098034,19,Woman,NA,No,NA,Right,Right
10101878,20,Woman,NA,No,NA,Right,Right
10102711,18,Woman,NA,No,NA,Left,Left
10105696,18,Man,NA,Yes. My strongest language is:,english,Right,Right
10111036,19,Other (please specify),Non-binary,No,NA,Right,Right
10114510,19,Prefer not to say,NA,Yes. My strongest language is:,english,Right,Right
10122239,18,Woman,NA,No,NA,Right,Left
10124858,18,Prefer not to say,NA,No,NA,Right,Left
10132722,18,Woman,NA,No,NA,Left,Left
10153970,19,Woman,NA,No,NA,Right,Right
10224591,38,Man,NA,No,NA,Right,Left
10225087,18,Woman,NA,No,NA,Right,Right
10266512,19,Man,NA,No,NA,Right,Don't know / No preference
10124650,18,Man,NA,No,NA,Right,Left
10124618,20,Woman,NA,No,NA,Right,Right
10121995,18,Woman,NA,No,NA,Right,Right
10276472,18,Woman,NA,Yes. My strongest language is:,english,Left,Right
10243319,18,Man,NA,No,NA,Right,Right
10216339,20,Woman,NA,No,NA,Right,Right
10211803,18,Woman,NA,No,NA,Right,Right
10205713,18,Woman,NA,No,NA,Left,Don't know / No preference
10182962,18,Woman,NA,No,NA,Right,Right
10168138,18,Woman,NA,Yes. My strongest language is:,english,Left,Left
10164423,19,Woman,NA,No,NA,Right,Left
10163615,19,Prefer not to say,NA,No,NA,Left,Right
10158586,19,Woman,NA,No,NA,Right,Right
10152762,18,Woman,NA,No,NA,Left,Right
10152098,21,Woman,NA,Yes. My strongest language is:,Malay,Right,Right
10145219,19,Woman,NA,No,NA,Right,Right
10126674,19,Woman,NA,No,NA,Right,Right
10126244,18,Woman,NA,No,NA,Right,Don't know / No preference
10115740,18,Man,NA,No,NA,Right,Right
10040343,63,Man,NA,Yes. My strongest language is:,Chinese,Right,Right
10050955,57,Woman,NA,Yes. My strongest language is:,cantonese,Right,Right
10161313,50,Man,NA,Yes. My strongest language is:,French and English,Right,Right
10190839,22,Woman,NA,No,NA,Right,Left
10202447,24,Man,NA,Yes. My strongest language is:,english,Right,Right
10221629,21,Woman,NA,No,NA,Right,Right
10182214,58,Woman,NA,No,NA,Right,Right
10166217,20,Woman,NA,Yes. My strongest language is:,Cantonese,Right,Right
10158473,20,Man,NA,Yes. My strongest language is:,english,Right,Right
10055189,20,Man,NA,Yes. My strongest language is:,Vietnamese,Right,Right
10054389,20,Man,NA,No,NA,Right,Left
10047113,21,Woman,NA,No,NA,Left,Right
10039055,22,Woman,NA,No,NA,Right,Don't know / No preference
10020157,21,Woman,NA,Yes. My strongest language is:,Hindi,Right,Right
10085587,21,Woman,NA,No,NA,Right,Right
10238510,20,Woman,NA,No,NA,Right,Right
10244258,20,Woman,NA,Yes. My strongest language is:,english,Right,Right
10249816,19,Man,NA,No,NA,Left,Left
10258628,22,Other (please specify),Non-Binary (AFAB),No,NA,Right,Right
10260593,20,Woman,NA,No,NA,Left,Left
10301401,59,Man,NA,No,NA,Right,Left
10304759,20,Woman,NA,No,NA,Right,Left
10305389,27,Other (please specify),Non-Binary,Yes. My strongest language is:,english,Don't know / No preference,Don't know / No preference
10289721,20,Woman,NA,No,NA,Right,Right
10312025,20,Man,NA,No,NA,Right,Right
