origID,asc_mean
12295569,1
12295849,1.6666666666666667
12304721,2.5
12314725,2
12314886,1.5
12317228,1.6666666666666667
12323320,2.5
12326898,2.5
12332993,2.8333333333333335
12333149,2.3333333333333335
12334989,3.5
12342870,2.5
12354173,2
12361735,1.8333333333333333
12380707,2.3333333333333335
12380832,2.1666666666666665
12383514,2.8333333333333335
12383663,3.6666666666666665
12384943,2.5
12385571,1.6666666666666667
12387558,2.8333333333333335
12393415,1.1666666666666667
12428612,2.3333333333333335
12460212,1.6666666666666667
12408161,2.8333333333333335
12409800,2.3333333333333335
12421443,3.1666666666666665
12421982,2.3333333333333335
12423332,3.1666666666666665
12427410,2.5
12457432,2
12491167,3.6666666666666665
12467385,1.6666666666666667
12421724,3
12419430,1.1666666666666667
12400911,2.5
12394974,2.5
12395310,2
12395154,2.1666666666666665
12333744,2.8333333333333335
12325443,2.8333333333333335
12307361,1.8333333333333333
12192778,1.8333333333333333
12177482,1.6666666666666667
