origID,order,mw_pc_count,mw_pc_aware_count,mw_sr_count
13860366,probe_selfreport,10,3,0
13860618,selfreport_probe,4,4,0
13861171,selfreport_probe,9,7,3
13862736,probe_selfreport,4,3,0
13863654,selfreport_probe,7,3,3
13863726,probe_selfreport,10,2,0
13865096,selfreport_probe,10,5,17
13865493,probe_selfreport,1,1,3
13867638,probe_selfreport,11,7,0
13869196,selfreport_probe,5,4,2
13869316,probe_selfreport,3,0,1
13869340,probe_selfreport,7,3,1
13872305,selfreport_probe,8,4,6
13872675,selfreport_probe,11,11,6
13873740,probe_selfreport,11,3,9
13875906,selfreport_probe,9,1,2
13875978,probe_selfreport,10,8,14
13876620,selfreport_probe,3,3,0
13876896,probe_selfreport,10,8,14
13878596,selfreport_probe,12,1,5
13878626,probe_selfreport,3,3,3
13880418,probe_selfreport,4,3,0
13881637,selfreport_probe,9,0,0
13883538,selfreport_probe,8,5,2
13884078,probe_selfreport,3,2,0
13884260,selfreport_probe,4,0,0
13884574,selfreport_probe,1,0,0
13884575,probe_selfreport,1,1,1
13886867,probe_selfreport,11,7,11
13889770,selfreport_probe,9,1,2
13889851,selfreport_probe,2,0,0
13891246,probe_selfreport,7,4,3
13892982,selfreport_probe,2,1,0
13898927,selfreport_probe,0,NA,0
13898999,probe_selfreport,0,NA,0
13899297,selfreport_probe,0,NA,0
13899320,probe_selfreport,0,NA,0
13899490,selfreport_probe,2,0,0
13899548,probe_selfreport,2,0,0
13900380,selfreport_probe,7,2,0
13902549,probe_selfreport,11,9,0
13903684,selfreport_probe,9,5,4
13903970,probe_selfreport,2,2,0
13904200,selfreport_probe,12,5,0
13904660,selfreport_probe,8,4,2
13906995,probe_selfreport,8,5,20
13907028,selfreport_probe,2,2,0
13907280,probe_selfreport,6,6,13
13907333,probe_selfreport,12,12,7
13907670,probe_selfreport,6,2,2
13907689,selfreport_probe,12,12,5
13908207,probe_selfreport,11,7,19
13909522,probe_selfreport,11,3,8
13909736,selfreport_probe,9,9,5
13909813,probe_selfreport,9,4,1
13911092,selfreport_probe,7,3,8
13912295,probe_selfreport,6,2,14
13914804,selfreport_probe,7,1,2
13919253,probe_selfreport,11,0,0
13919855,probe_selfreport,7,6,0
13920088,selfreport_probe,8,4,2
13920225,selfreport_probe,11,7,11
13921803,probe_selfreport,5,2,0
13924121,selfreport_probe,10,6,13
13925040,probe_selfreport,0,NA,0
13925905,probe_selfreport,11,8,3
13926988,selfreport_probe,10,9,0
13929615,selfreport_probe,3,3,1
13933305,probe_selfreport,7,5,2
13934025,selfreport_probe,11,0,0
13935420,selfreport_probe,8,5,1
13942867,selfreport_probe,8,3,1
13944689,probe_selfreport,9,4,0
13953935,selfreport_probe,12,3,4
13955495,probe_selfreport,11,6,10
13963720,selfreport_probe,12,11,0
13963957,probe_selfreport,8,3,18
